"","date_time","time","temp"
"1","2020-01-01 00:00","00:00",-0.2
"2","2020-01-01 01:00","01:00",-0.6
"3","2020-01-01 02:00","02:00",-0.6
"4","2020-01-01 03:00","03:00",-0.8
"5","2020-01-01 04:00","04:00",-1
"6","2020-01-01 05:00","05:00",-1.1
"7","2020-01-01 06:00","06:00",-1.1
"8","2020-01-01 07:00","07:00",-1
"9","2020-01-01 08:00","08:00",-1.1
"10","2020-01-01 09:00","09:00",-1
"11","2020-01-01 10:00","10:00",-0.9
"12","2020-01-01 11:00","11:00",-0.7
"13","2020-01-01 12:00","12:00",-0.5
"14","2020-01-01 13:00","13:00",-0.2
"15","2020-01-01 14:00","14:00",-0.1
"16","2020-01-01 15:00","15:00",0
"17","2020-01-01 16:00","16:00",0
"18","2020-01-01 17:00","17:00",-0.1
"19","2020-01-01 18:00","18:00",-0.3
"20","2020-01-01 19:00","19:00",-0.6
"21","2020-01-01 20:00","20:00",-0.8
"22","2020-01-01 21:00","21:00",-0.3
"23","2020-01-01 22:00","22:00",0.1
"24","2020-01-01 23:00","23:00",-0.2
"25","2020-01-02 00:00","00:00",-0.4
"26","2020-01-02 01:00","01:00",-0.8
"27","2020-01-02 02:00","02:00",-1.2
"28","2020-01-02 03:00","03:00",-1.4
"29","2020-01-02 04:00","04:00",-1.4
"30","2020-01-02 05:00","05:00",-1.3
"31","2020-01-02 06:00","06:00",-1.6
"32","2020-01-02 07:00","07:00",-1.7
"33","2020-01-02 08:00","08:00",-1.7
"34","2020-01-02 09:00","09:00",-1.7
"35","2020-01-02 10:00","10:00",-0.8
"36","2020-01-02 11:00","11:00",-0.7
"37","2020-01-02 12:00","12:00",0.2
"38","2020-01-02 13:00","13:00",0.5
"39","2020-01-02 14:00","14:00",0.8
"40","2020-01-02 15:00","15:00",1.2
"41","2020-01-02 16:00","16:00",1.1
"42","2020-01-02 17:00","17:00",0.1
"43","2020-01-02 18:00","18:00",-0.4
"44","2020-01-02 19:00","19:00",2.3
"45","2020-01-02 20:00","20:00",2.6
"46","2020-01-02 21:00","21:00",2.9
"47","2020-01-02 22:00","22:00",3
"48","2020-01-02 23:00","23:00",3.4
"49","2020-01-03 00:00","00:00",2.9
"50","2020-01-03 01:00","01:00",3.3
"51","2020-01-03 02:00","02:00",2.9
"52","2020-01-03 03:00","03:00",2.9
"53","2020-01-03 04:00","04:00",2.7
"54","2020-01-03 05:00","05:00",3
"55","2020-01-03 06:00","06:00",2.7
"56","2020-01-03 07:00","07:00",2.7
"57","2020-01-03 08:00","08:00",2.5
"58","2020-01-03 09:00","09:00",2.7
"59","2020-01-03 10:00","10:00",3.1
"60","2020-01-03 11:00","11:00",2.9
"61","2020-01-03 12:00","12:00",3.6
"62","2020-01-03 13:00","13:00",3.9
"63","2020-01-03 14:00","14:00",3.5
"64","2020-01-03 15:00","15:00",3.2
"65","2020-01-03 16:00","16:00",3
"66","2020-01-03 17:00","17:00",2.9
"67","2020-01-03 18:00","18:00",2.8
"68","2020-01-03 19:00","19:00",2.7
"69","2020-01-03 20:00","20:00",2.5
"70","2020-01-03 21:00","21:00",2.3
"71","2020-01-03 22:00","22:00",2.3
"72","2020-01-03 23:00","23:00",1.9
"73","2020-01-04 00:00","00:00",1.9
"74","2020-01-04 01:00","01:00",1.5
"75","2020-01-04 02:00","02:00",-0.8
"76","2020-01-04 03:00","03:00",-1.5
"77","2020-01-04 04:00","04:00",-2.8
"78","2020-01-04 05:00","05:00",-1.9
"79","2020-01-04 06:00","06:00",-1.9
"80","2020-01-04 07:00","07:00",-2.5
"81","2020-01-04 08:00","08:00",-2.4
"82","2020-01-04 09:00","09:00",-2.2
"83","2020-01-04 10:00","10:00",-0.3
"84","2020-01-04 11:00","11:00",0.3
"85","2020-01-04 12:00","12:00",0.2
"86","2020-01-04 13:00","13:00",0
"87","2020-01-04 14:00","14:00",-0.3
